"State or Nation","Overall Rating","Health Inspection Rating","QM Rating","Staffing Rating","Cycle 1 Total Number of Health Deficiencies","Cycle 1 Total Number of Fire Safety Deficiencies","Cycle 2 Total Number of Health Deficiencies","Cycle 2 Total Number of Fire Safety Deficiencies","Cycle 3 Total Number of Health Deficiencies","Cycle 3 Total Number of Fire Safety Deficiencies","Average Number of Residents per Day","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Registered Nurse turnover","Number of administrators who have left the nursing home","Nursing Case-Mix Index","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Number of Fines","Fine Amount in Dollars","Percentage of long stay residents whose need for help with daily activities has increased","Percentage of long stay residents who lose too much weight","Percentage of long stay residents with a catheter inserted and left in their bladder","Percentage of long stay residents with a urinary tract infection","Percentage of long stay residents who have depressive symptoms","Percentage of long stay residents who were physically restrained","Percentage of long stay residents experiencing one or more falls with major injury","Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of long stay residents who received an antipsychotic medication","Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of short stay residents who newly received an antipsychotic medication","Percentage of long stay residents whose ability to walk independently worsened","Percentage of long stay residents who received an antianxiety or hypnotic medication","Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine","Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine","Percentage of long stay residents with pressure ulcers","Percentage of long stay residents with new or worsened bowel or bladder incontinence","Percentage of short stay residents who were rehospitalized after a nursing home admission","Percentage of short stay residents who had an outpatient emergency department visit","Number of hospitalizations per 1000 long-stay resident days","Number of outpatient emergency department visits per 1000 long-stay resident days","Processing Date"
NATION,3.0,2.8,3.6,2.9,9.3,4.5,9.9,4.7,9.4,4.4,86.0,2.32,0.86,0.68532,1.54,3.86139,3.42319,0.48,0.07,45.8,42.9,0.5,1.41185,0.68043,3.83384,3.39876,0.9,31591,13.873069,5.190116,0.820066,1.587856,12.799439,0.125556,3.233889,93.545604,15.390658,82.045421,1.560030,14.075154,19.523618,95.460012,79.753562,4.623555,19.012626,23.751565,11.989323,1.895700,1.785524,2026-07-01
AK,3.5,2.9,3.9,4.5,8.9,5.5,8.3,5.8,8.1,5.3,37.0,3.95,0.66,2.08337,2.74,6.69272,5.98258,1.59,0.07,48.3,46.0,0.4,1.30142,0.63171,3.55935,3.15543,0.6,32041,16.711089,5.330798,1.448989,2.537309,6.480887,0.160632,3.175953,93.297296,18.754052,80.014783,0.474032,19.546476,14.664446,95.988691,85.532227,6.945250,20.004017,14.999513,10.973455,1.003194,1.360734,2026-07-01
AL,3.0,2.8,3.2,3.6,3.9,3.6,2.8,3.3,3.4,3.2,98.1,2.44,0.79,0.65229,1.44,3.88131,3.26518,0.36,0.03,46.9,39.5,0.4,1.23122,0.59764,3.36737,2.98523,0.4,14386,12.002104,5.407468,0.951145,2.350931,1.431669,0.602162,3.290436,92.234354,21.201609,85.252110,2.005770,12.080630,24.503897,94.763337,80.315428,5.366177,12.807062,24.789340,11.336502,1.964451,1.704715,2026-07-01
AR,3.5,3.2,3.7,3.3,2.9,2.0,7.9,2.2,8.0,1.9,77.2,2.67,0.95,0.40816,1.35,4.02615,3.45672,0.28,0.03,49.5,44.8,0.3,1.20314,0.58401,3.29057,2.91714,0.5,9031,9.475316,4.284583,0.589381,1.183132,1.391587,0.059515,3.878812,95.058843,10.868438,81.987416,1.281191,10.072397,21.697572,96.081418,77.659401,4.239679,13.524990,24.105613,12.516856,2.007911,2.132253,2026-07-01
AZ,3.4,2.8,4.5,2.9,6.7,3.2,7.3,3.2,7.9,3.4,88.1,2.23,1.04,0.69893,1.74,3.97147,3.50100,0.49,0.10,45.1,43.6,0.4,1.43255,0.69537,3.91801,3.47338,0.5,8325,10.692493,5.291480,0.769241,1.200203,3.912837,0.302096,2.130980,96.857689,10.646752,91.801168,1.169330,12.846973,21.009120,94.582325,87.343381,4.358887,20.603170,23.655746,10.376990,1.468832,1.422756,2026-07-01
CA,3.2,2.8,4.1,3.3,15.5,6.3,17.2,6.9,17.2,7.5,87.9,2.65,1.20,0.66844,1.87,4.51791,4.09338,0.51,0.09,36.7,38.2,0.4,1.50162,0.72889,4.10691,3.64084,0.9,25346,10.248065,4.039481,0.769752,1.217009,7.275270,0.358924,1.615665,98.613618,12.074899,94.429881,1.454139,9.782029,13.713498,98.208577,93.214900,4.282791,10.229256,22.950677,11.243212,2.245706,1.572374,2026-07-01
CO,3.1,2.7,4.1,3.1,8.7,6.1,8.8,5.6,7.7,4.9,74.8,2.22,0.68,0.82668,1.51,3.72332,3.29774,0.61,0.08,47.1,44.6,0.5,1.36065,0.66046,3.72135,3.29904,1.3,25570,13.357377,4.748115,0.609184,1.446257,8.755057,0.079173,3.405829,93.519676,20.032371,76.392360,1.575677,13.338353,11.504480,94.731634,75.632475,3.377842,21.244414,20.293329,12.069423,1.376208,1.741080,2026-07-01
CT,3.0,2.7,3.6,3.2,13.5,4.4,14.0,4.6,9.1,2.6,103.1,2.22,0.82,0.68532,1.50,3.72747,3.36608,0.45,0.08,37.4,38.6,0.5,1.38787,0.67368,3.79581,3.36505,0.9,23176,17.953615,6.458034,0.744976,1.463970,22.333654,0.003193,3.480874,88.648850,17.698934,71.778658,1.463409,16.382334,17.643370,93.482189,69.701915,3.974303,24.702256,24.289524,10.747110,2.055037,1.461786,2026-07-01
DC,3.4,2.8,4.4,4.0,23.8,1.8,18.7,2.1,20.9,2.2,126.9,2.63,0.63,1.60929,2.24,4.87242,4.44879,1.33,0.12,34.0,32.5,0.7,1.44300,0.70044,3.94658,3.49871,1.4,78690,20.224590,5.319595,1.134674,1.425429,6.389806,0.530221,1.128495,91.677491,8.027386,66.504739,0.811347,16.842485,12.354777,96.987631,73.216685,7.648729,21.386550,18.454032,8.625968,1.254889,0.551269,2026-07-01
DE,3.2,2.7,4.0,4.0,10.9,0.7,13.6,1.5,12.8,1.0,90.1,2.40,0.98,0.96516,1.95,4.34546,3.89370,0.64,0.11,41.3,41.2,0.5,1.32932,0.64526,3.63566,3.22307,1.4,65189,12.717315,5.419493,0.446472,2.056264,10.330774,0.008711,3.214908,95.715828,10.674622,83.508683,0.988859,13.577338,21.846391,97.414316,83.067465,3.465257,20.228804,23.346527,11.604712,1.807059,1.403535,2026-07-01
